ar,smasvaedi,kyn,aldursflokkur,fjoldi
2023,1301,1,5-9 ára,44
2023,2702,2,5-9 ára,76
2023,4202,2,5-9 ára,34
2023,3004,1,5-9 ára,105
2023,2004,2,5-9 ára,62
2023,3403,1,5-9 ára,82
2023,1102,1,5-9 ára,68
2023,1304,2,5-9 ára,108
2023,3202,2,5-9 ára,61
2023,2404,1,5-9 ára,96
2023,2602,2,5-9 ára,72
2023,2006,2,5-9 ára,59
2023,1304,1,5-9 ára,106
2023,502,2,5-9 ára,66
2023,4203,1,5-9 ára,51
2023,601,2,5-9 ára,60
2023,806,2,5-9 ára,52
2023,2203,1,5-9 ára,84
2023,2101,2,5-9 ára,73
2023,1806,1,5-9 ára,20
2023,3503,2,5-9 ára,41
2023,3801,2,5-9 ára,54
2023,807,1,5-9 ára,45
2023,3305,2,5-9 ára,73
2023,4201,1,5-9 ára,56
2023,1603,1,5-9 ára,81
2023,2904,1,5-9 ára,92
2023,2703,1,5-9 ára,96
2023,3103,1,5-9 ára,84
2023,3904,1,5-9 ára,60
2023,402,2,5-9 ára,97
2023,1705,1,5-9 ára,77
2023,1810,2,5-9 ára,24
2023,2204,2,5-9 ára,48
2023,3401,1,5-9 ára,58
2023,602,2,5-9 ára,85
2023,3402,2,5-9 ára,24
2023,804,1,5-9 ára,89
2023,1001,2,5-9 ára,53
2023,2903,1,5-9 ára,41
2023,3904,2,5-9 ára,49
2023,1005,1,5-9 ára,41
2023,3005,2,5-9 ára,58
2023,1401,2,5-9 ára,86
2023,2303,1,5-9 ára,52
2023,2001,1,5-9 ára,57
2023,2301,1,5-9 ára,53
2023,1701,2,5-9 ára,27
2023,1702,1,5-9 ára,40
2023,1811,2,5-9 ára,60
2023,4202,1,5-9 ára,41
2023,3003,1,5-9 ára,53
2023,2704,1,5-9 ára,64
2023,3102,1,5-9 ára,54
2023,4003,1,5-9 ára,37
2023,2002,2,5-9 ára,15
2023,104,2,5-9 ára,23
2023,903,2,5-9 ára,69
2023,3006,1,5-9 ára,35
2023,1805,2,5-9 ára,60
2023,2203,2,5-9 ára,63
2023,2005,1,5-9 ára,70
2023,1602,1,5-9 ára,68
2023,2502,1,5-9 ára,36
2023,4204,2,5-9 ára,38
2023,3603,2,5-9 ára,80
2023,206,1,5-9 ára,72
2023,1203,2,5-9 ára,47
2023,1902,1,5-9 ára,25
2023,3103,2,5-9 ára,69
2023,1802,1,5-9 ára,27
2023,3304,2,5-9 ára,47
2023,701,2,5-9 ára,47
2023,2501,2,5-9 ára,67
2023,303,2,5-9 ára,33
2023,3104,2,5-9 ára,47
2023,2406,2,5-9 ára,41
2023,2702,1,5-9 ára,77
2023,2402,2,5-9 ára,54
2023,1904,2,5-9 ára,58
2023,103,2,5-9 ára,27
2023,1504,1,5-9 ára,64
2023,1811,1,5-9 ára,67
2023,2105,2,5-9 ára,40
2023,3301,1,5-9 ára,63
2023,3403,2,5-9 ára,89
2023,1205,1,5-9 ára,20
2023,2105,1,5-9 ára,33
2023,3704,1,5-9 ára,35
2023,1901,2,5-9 ára,63
2023,3703,1,5-9 ára,46
2023,503,1,5-9 ára,57
2023,1006,2,5-9 ára,61
2023,1003,2,5-9 ára,60
2023,208,2,5-9 ára,31
2023,208,1,5-9 ára,41
2023,1204,1,5-9 ára,58
2023,1804,2,5-9 ára,32
2023,1602,2,5-9 ára,57
2023,2008,1,5-9 ára,20
2023,1706,2,5-9 ára,43
2023,708,1,5-9 ára,60
2023,1305,2,5-9 ára,26
2023,3401,2,5-9 ára,59
2023,3804,1,5-9 ára,57
2023,1702,2,5-9 ára,33
2023,1803,1,5-9 ára,110
2023,502,1,5-9 ára,60
2023,2007,1,5-9 ára,40
2023,4002,1,5-9 ára,81
2023,2101,1,5-9 ára,67
2023,1002,1,5-9 ára,85
2023,3205,1,5-9 ára,55
2023,903,1,5-9 ára,57
2023,2407,2,5-9 ára,74
2023,2703,2,5-9 ára,91
2023,3101,2,5-9 ára,71
2023,803,2,5-9 ára,65
2023,405,1,5-9 ára,62
2023,1103,2,5-9 ára,43
2023,1501,1,5-9 ára,56
2023,3802,2,5-9 ára,35
2023,401,2,5-9 ára,82
2023,101,1,5-9 ára,31
2023,1101,2,5-9 ára,43
2023,1501,2,5-9 ára,54
2023,3702,1,5-9 ára,38
2023,4103,1,5-9 ára,43
2023,4102,2,5-9 ára,118
2023,2201,2,5-9 ára,62
2023,3201,1,5-9 ára,33
2023,2002,1,5-9 ára,19
2023,1807,1,5-9 ára,57
2023,2704,2,5-9 ára,58
2023,4204,1,5-9 ára,38
2023,1001,1,5-9 ára,52
2023,2802,1,5-9 ára,54
2023,403,2,5-9 ára,19
2023,302,2,5-9 ára,46
2023,1404,1,5-9 ára,30
2023,1809,2,5-9 ára,65
2023,3204,2,5-9 ára,83
2023,3901,2,5-9 ára,55
2023,3502,2,5-9 ára,61
2023,104,1,5-9 ára,33
2023,504,2,5-9 ára,57
2023,1903,1,5-9 ára,19
2023,1404,2,5-9 ára,27
2023,2406,1,5-9 ára,39
2023,1810,1,5-9 ára,25
2023,806,1,5-9 ára,44
2023,704,2,5-9 ára,59
2023,2804,1,5-9 ára,76
2023,1201,2,5-9 ára,32
2023,805,2,5-9 ára,36
2023,804,2,5-9 ára,72
2023,3602,2,5-9 ára,71
2023,1302,2,5-9 ára,65
2023,3002,2,5-9 ára,38
2023,1403,1,5-9 ára,42
2023,1302,1,5-9 ára,79
2023,1803,2,5-9 ára,137
2023,2801,1,5-9 ára,53
2023,4101,1,5-9 ára,26
2023,601,1,5-9 ára,60
2023,205,1,5-9 ára,30
2023,1809,1,5-9 ára,61
2023,2004,1,5-9 ára,70
2023,2001,2,5-9 ára,49
2023,802,2,5-9 ára,27
2023,401,1,5-9 ára,63
2023,203,1,5-9 ára,54
2023,1004,2,5-9 ára,80
2023,2503,1,5-9 ára,43
2023,606,1,5-9 ára,49
2023,1303,2,5-9 ára,47
2023,1805,1,5-9 ára,58
2023,707,1,5-9 ára,35
2023,1104,2,5-9 ára,55
2023,202,1,5-9 ára,57
2023,4103,2,5-9 ára,40
2023,807,2,5-9 ára,42
2023,2803,1,5-9 ára,101
2023,203,2,5-9 ára,48
2023,2601,1,5-9 ára,56
2023,3203,2,5-9 ára,38
2023,605,2,5-9 ára,31
2023,1802,2,5-9 ára,23
2023,3201,2,5-9 ára,32
2023,301,2,5-9 ára,64
2023,603,1,5-9 ára,25
2023,2003,2,5-9 ára,29
2023,2701,2,5-9 ára,46
2023,3902,1,5-9 ára,63
2023,2303,2,5-9 ára,61
2023,1402,2,5-9 ára,66
2023,301,1,5-9 ára,67
2023,101,2,5-9 ára,43
2023,2202,2,5-9 ára,80
2023,3804,2,5-9 ára,51
2023,2202,1,5-9 ára,75
2023,3303,1,5-9 ára,51
2023,803,1,5-9 ára,83
2023,2504,1,5-9 ára,82
2023,3302,1,5-9 ára,61
2023,3803,1,5-9 ára,55
2023,3404,2,5-9 ára,28
2023,2302,1,5-9 ára,33
2023,2205,2,5-9 ára,59
2023,1006,1,5-9 ára,64
2023,3601,2,5-9 ára,51
2023,4002,2,5-9 ára,61
2023,4001,2,5-9 ára,26
2023,2705,1,5-9 ára,80
2023,503,2,5-9 ára,61
2023,3102,2,5-9 ára,44
2023,1503,1,5-9 ára,70
2023,2106,1,5-9 ára,61
2023,2402,1,5-9 ára,54
2023,2008,2,5-9 ára,18
2023,3304,1,5-9 ára,46
2023,3305,1,5-9 ára,75
2023,1705,2,5-9 ára,64
2023,304,2,5-9 ára,35
